Status	Approved symbol	Approved name	UniProt accession
Approved	OR13A1	olfactory receptor family 13 subfamily A member 1	Q8NGR1
Approved	OR13C2	olfactory receptor family 13 subfamily C member 2	Q8NGS9
Approved	OR13C3	olfactory receptor family 13 subfamily C member 3	Q8NGS6
Approved	OR13C4	olfactory receptor family 13 subfamily C member 4	Q8NGS5
Approved	OR13C5	olfactory receptor family 13 subfamily C member 5	Q8NGS8
Approved	OR13C8	olfactory receptor family 13 subfamily C member 8	Q8NGS7
Approved	OR13C9	olfactory receptor family 13 subfamily C member 9	Q8NGT0
Approved	OR13D1	olfactory receptor family 13 subfamily D member 1	Q8NGV5
Approved	OR13F1	olfactory receptor family 13 subfamily F member 1	Q8NGS4
Approved	OR13G1	olfactory receptor family 13 subfamily G member 1	Q8NGZ3
Approved	OR13H1	olfactory receptor family 13 subfamily H member 1	Q8NG92
Approved	OR13J1	olfactory receptor family 13 subfamily J member 1	Q8NGT2
Approved	OR14A2	olfactory receptor family 14 subfamily A member 2	Q96R54
Approved	OR14A16	olfactory receptor family 14 subfamily A member 16	Q8NHC5
Approved	OR14C36	olfactory receptor family 14 subfamily C member 36	Q8NHC7
Approved	OR14I1	olfactory receptor family 14 subfamily I member 1	A6ND48
Approved	OR14J1	olfactory receptor family 14 subfamily J member 1	Q9UGF5
Approved	OR14K1	olfactory receptor family 14 subfamily K member 1	Q8NGZ2
Approved	OR51A2	olfactory receptor family 51 subfamily A member 2	Q8NGJ7
Approved	OR51A4	olfactory receptor family 51 subfamily A member 4	Q8NGJ6
Approved	OR51A7	olfactory receptor family 51 subfamily A member 7	Q8NH64
Approved	OR51B2	olfactory receptor family 51 subfamily B member 2	Q9Y5P1
Approved	OR51B4	olfactory receptor family 51 subfamily B member 4	Q9Y5P0
Approved	OR51B5	olfactory receptor family 51 subfamily B member 5	Q9H339
Approved	OR51B6	olfactory receptor family 51 subfamily B member 6	Q9H340
Approved	OR51D1	olfactory receptor family 51 subfamily D member 1	Q8NGF3
Approved	OR51E1	olfactory receptor family 51 subfamily E member 1	Q8TCB6
Approved	OR51E2	olfactory receptor family 51 subfamily E member 2	Q9H255
Approved	OR51F1	olfactory receptor family 51 subfamily F member 1	A6NGY5
Approved	OR51F2	olfactory receptor family 51 subfamily F member 2	Q8NH61
Approved	OR51G1	olfactory receptor family 51 subfamily G member 1	Q8NGK1
Approved	OR51G2	olfactory receptor family 51 subfamily G member 2	Q8NGK0
Approved	OR51H1	olfactory receptor family 51 subfamily H member 1	Q8NH63
Approved	OR51I1	olfactory receptor family 51 subfamily I member 1	Q9H343
Approved	OR51I2	olfactory receptor family 51 subfamily I member 2	Q9H344
Approved	OR51J1	olfactory receptor family 51 subfamily J member 1	Q9H342
Approved	OR51L1	olfactory receptor family 51 subfamily L member 1	Q8NGJ5
Approved	OR51M1	olfactory receptor family 51 subfamily M member 1	Q9H341
Approved	OR51Q1	olfactory receptor family 51 subfamily Q member 1	Q8NH59
Approved	OR51S1	olfactory receptor family 51 subfamily S member 1	Q8NGJ8
Approved	OR51T1	olfactory receptor family 51 subfamily T member 1	Q8NGJ9
Approved	OR51V1	olfactory receptor family 51 subfamily V member 1	Q9H2C8
Approved	OR52A1	olfactory receptor family 52 subfamily A member 1	Q9UKL2
Approved	OR52A5	olfactory receptor family 52 subfamily A member 5	Q9H2C5
Approved	OR52B2	olfactory receptor family 52 subfamily B member 2	Q96RD2
Approved	OR52B4	olfactory receptor family 52 subfamily B member 4	Q8NGK2
Approved	OR52B6	olfactory receptor family 52 subfamily B member 6	Q8NGF0
Approved	OR52D1	olfactory receptor family 52 subfamily D member 1	Q9H346
Approved	OR52E2	olfactory receptor family 52 subfamily E member 2	Q8NGJ4
Approved	OR52E4	olfactory receptor family 52 subfamily E member 4	Q8NGH9
Approved	OR52E5	olfactory receptor family 52 subfamily E member 5	Q8NH55
Approved	OR52E6	olfactory receptor family 52 subfamily E member 6	Q96RD3
Approved	OR52E8	olfactory receptor family 52 subfamily E member 8	Q6IFG1
Approved	OR52H1	olfactory receptor family 52 subfamily H member 1	Q8NGJ2
Approved	OR52I1	olfactory receptor family 52 subfamily I member 1	Q8NGK6
